,analogue_name,barcode
0,Вино RED WINE кр. п/сл. (Россия) 1L,0000000000000
1,Виски WILLIAM LAWSON'S купажированный алк.40% (Россия) 0.7L,5010752001410
2,Вода питьевая СВЯТОЙ ИСТОЧНИК природная негаз. ПЭТ (Россия) 1.5L,4603934000274
3,Квас 365 ДНЕЙ фильтрованный паст. ПЭТ (Россия) 1.5L,4606068369347
4,Кетчуп HEINZ томатный дой-пак (Россия) 320г,4601674084714
5,"Кефир 365 ДНЕЙ 2,5%" пл без змж (Россия) 800г,4606068283988
6,Конфеты MERCI Ассорти (Германия) 250г,401440090119
7,Конфеты TOFFIFEE Орешки в карамели (Германия) 125г,4014400194906
8,Напиток ароматизированный MARTINI Bianco виноградосодерж. из виноград. сырья бел. сл. (Италия) 1L,7630040404617
9,Напиток безалкогольный ADRENALINE Rush Энергия энергетический газ ж/б (Россия) 0.449L,4600494694202
10,Напиток безалкогольный DRIVE ME Оригинальный энерг. газ. ж/б (Россия) 0.449L,4600494698682
11,Напиток безалкогольный ДОБРЫЙ Кола с/газ ПЭТ (Россия) 1L,4650075427750
12,Напиток безалкогольный ЧЕРНОГОЛОВКА Кола сильногаз. ПЭТ (Россия) 2L,4602441009909
13,Печенье прослоенное глазированное LOTTE Choco Pie Чокопай 12шт (Россия) 336г,4607084351422
14,"Пиво светлое БАЛТИКА Классическое N3 паст. алк.4,8% ж/б (Россия) 0.45L",4600682200451
15,"Пиво СТАРЫЙ МЕЛЬНИК Мягкое из бочонка светлое пастер. алк.4,3% ст. (Россия) 0.45L",4605622010237
16,Сахар 365 ДНЕЙ СВ ТС2 (Россия) 1000г,4607084910018
17,Сметана ПРОСТОКВАШИНО 15% без змж (Россия) 300г,4600605029275
18,Чипсы LAY'S Сметана и лук (Россия) 225г,4690388050474
19,Чипсы картофельные LAY'S Краб (Россия) 140г,4690388111274
20,Шоколадные батончики SNICKERS Super (Россия) 80 г,4660065515163
21,Яйцо куриное АЗОVO С1 (Россия) 10шт,4607018702610
